2.61515e-06, 
1.44748, 
0.000267573, 
1.23224, 
-0.000482909, 
3.50098, 
-0.000237882, 
1.01448, 
0.837498, 
2.25826, 
0.000132822, 
0.290804, 
2.50191, 
21.7443, 
12.25, 
0.0627485, 
-0.000367485, 
2.9192, 
13.8493, 
-0.00029283, 
0.981637, 
-0.000344135, 
7.8477e-05, 
4.47244, 
-0.000500455, 
-3.05101e-05, 
17.7823, 
1.22358, 
0.000102982, 
2.98962, 
3.43669, 
0.000181295, 
-0.000312664, 
0.000379473, 
4.17881, 
0.706434, 
2.3941, 
-0.000875928, 
-0.000318415, 
-0.000566147, 
4.32406, 
7.69496e-05, 
0.308056, 
15.5298, 
-0.000542834, 
2.42375, 
8.05507, 
0.000155173, 
1.06665, 
1.76466, 
2.07996, 
-0.00051368, 
0.91127, 
7.35e-05, 
0.0179602, 
0.00146726, 
-0.000205174, 
1.17813, 
0.000238121, 
0.000285976, 
0.00016994, 
1.09449e-05, 
0.330827, 
0.0772723, 
2.22748, 
-0.000455931, 
1.7627, 
6.10191, 
6.39267, 
3.01562, 
0.00729141, 
-0.000606813, 
0.109684, 
1.05182, 
-0.000358932, 
2.39761, 
-0.000742607, 
0.000648879, 
3.12088, 
5.21713, 
7.47517e-05, 
0.218843, 
0.000350542, 
2.85513, 
0.000200957, 
42.8831, 
-0.000352062, 
-2.33278e-05, 
2.4364, 
0.388909, 
0.242821, 
0.000328057, 
0.170955, 
4.48816, 
1.19426, 
0.0340471, 
0.414148, 
0.541159, 
-0.000142395, 
0.327179, 
0.000598155, 
0.000236392, 
4.51705, 
-0.000441797, 
-0.000187971, 
1.31669, 
0.000220902, 
30.8085, 
3.07197, 
0.858984, 
7.06259, 
0.000443764, 
-0.000106849, 
0.37321, 
0.92533, 
2.80492, 
2.47543, 
-0.000415631, 
0.00200012, 
0.000364758, 
-0.000325389, 
0.125478, 
42.3938, 
-0.00019908, 
0.00013905, 
0.000435986, 
-0.00011424, 
2.47279, 
-0.000829831, 
1.22048, 
0.298349, 
0.56113, 
-5.45606e-05, 
1.68791, 
0.142568, 
0.403953, 
2.584, 
0.149029, 
0.127315, 
6.14046, 
-0.000200637, 
19.5527, 
3.65617, 
0.000186756, 
0.000193082, 
0.000313185, 
0.00377639, 
1.93521, 
-0.000291474, 
9.38773e-07, 
1.31417, 
-4.36828e-05, 
0.697655, 
1.70946, 
0.515451, 
3.3367, 
-5.64158e-05, 
1.43948, 
5.37209, 
0.699601, 
-0.000207402, 
0.77997, 
1.1103, 
0.332465, 
0.000905551, 
0.00132823, 
0.347327, 
41.1464, 
4.41575, 
-0.000337541, 
0.165751, 
0.458337, 
-9.20221e-05, 
10.5675, 
-0.000298217, 
0.0249956, 
4.02841, 
0.147526, 
4.43363, 
1.07288e-06, 
20.7473, 
1.69277, 
162.264, 
0.000236988, 
10.1715, 
-6.36578e-05, 
-3.94508e-05, 
21.3118, 
-0.000198074, 
-0.000165462, 
-0.000343598, 
-0.000340313, 
9.53898e-05, 
1.55978, 
-0.000535473, 
0.490931, 
1.22292, 
-3.46899e-05, 
1.32744, 
3.21862, 
6.76737, 
0.000358462, 
1.04916, 
0.141859, 
0.186259, 
22.3921, 
0.000850536, 
