-6.40667e-05, 
1.11885, 
-7.69133e-05, 
1.09018, 
-0.00011526, 
3.40327, 
-0.000107185, 
0.901746, 
0.750014, 
1.93033, 
-0.000120125, 
0.34404, 
2.48016, 
21.9523, 
12.7331, 
-4.41467e-05, 
-0.00014576, 
2.89354, 
17.6495, 
-0.000189013, 
0.827477, 
-0.000146829, 
-0.00015482, 
4.37284, 
-7.76056e-05, 
-7.81163e-05, 
16.4461, 
1.0764, 
-0.000132635, 
2.79781, 
3.3123, 
-5.37515e-05, 
-3.49254e-05, 
-8.12887e-05, 
4.10559, 
0.488219, 
2.58245, 
-0.000124051, 
-0.000122875, 
-0.000155802, 
4.2338, 
-0.000128545, 
0.250111, 
15.0402, 
-9.4924e-05, 
2.40795, 
7.62579, 
-8.85001e-06, 
1.0115, 
1.74536, 
1.86551, 
-3.08992e-05, 
0.925828, 
-0.000158147, 
0.140828, 
-0.000148382, 
-0.000107673, 
1.21215, 
-7.84381e-05, 
-9.66204e-05, 
-0.000145476, 
-8.19385e-05, 
0.195299, 
0.271608, 
2.08037, 
-0.000101619, 
1.76117, 
5.94495, 
6.53386, 
2.78668, 
4.15964e-05, 
-0.000123555, 
0.1253, 
0.921151, 
-0.000151125, 
2.158, 
-2.94327e-05, 
8.36193e-06, 
2.82527, 
4.94413, 
-0.000144631, 
0.152724, 
-7.58753e-05, 
2.59076, 
-9.94588e-05, 
44.4597, 
-0.000128165, 
-3.18077e-05, 
2.29965, 
-6.52891e-05, 
0.502157, 
-8.00207e-05, 
0.117513, 
4.63855, 
1.00738, 
0.00502145, 
0.306512, 
0.290491, 
-0.000147146, 
0.458194, 
-4.75461e-05, 
-7.67978e-05, 
4.47045, 
-0.000136763, 
-6.85167e-05, 
1.44975, 
-0.00011898, 
29.4417, 
2.2411, 
0.840255, 
7.48296, 
-1.34487e-05, 
-0.000102603, 
0.241906, 
0.916921, 
2.6123, 
2.66151, 
-6.98521e-05, 
0.0519679, 
-0.000114304, 
-0.000185586, 
2.45871e-05, 
47.6297, 
-9.20447e-05, 
-9.40251e-05, 
-0.000102445, 
-0.000123008, 
2.65756, 
-0.000179451, 
1.2835, 
0.291963, 
0.472485, 
-8.88157e-05, 
1.61684, 
-3.59474e-05, 
0.485127, 
2.79635, 
0.13649, 
0.186951, 
6.07954, 
-0.000102498, 
18.369, 
3.51796, 
-4.93662e-05, 
-0.000159024, 
-0.000107474, 
0.0113139, 
1.69008, 
-0.000106408, 
-6.9746e-05, 
1.50399, 
-8.5934e-05, 
0.752974, 
1.56375, 
0.441241, 
3.59981, 
-5.39496e-05, 
1.45569, 
5.74523, 
0.662177, 
-9.85638e-05, 
0.819902, 
1.16539, 
0.395502, 
-7.95393e-05, 
-6.57929e-05, 
0.410722, 
41.0498, 
4.17959, 
-0.000154122, 
0.368882, 
0.390154, 
-0.000158234, 
10.0919, 
-0.000166009, 
-9.63817e-05, 
4.03018, 
0.438775, 
4.89993, 
-6.34464e-05, 
23.2601, 
1.65425, 
165.037, 
-0.000125863, 
12.8342, 
-0.000120075, 
-0.000146941, 
20.9745, 
-9.35852e-05, 
-0.000130873, 
-0.00010017, 
-0.000152056, 
-5.41414e-05, 
1.65132, 
-9.66605e-05, 
0.532204, 
1.63438, 
-0.000139914, 
1.20534, 
3.34715, 
6.76827, 
-9.37507e-05, 
0.986116, 
-1.52973e-05, 
0.309595, 
24.6843, 
-5.8089e-05, 
-8.05388e-05, 
-0.000111882, 
1.20973, 
5.06509, 
1.46548, 
5.57658e-06, 
0.0502627, 
-0.000130319, 
-0.000153919, 
1.76104e-06, 
0.723002, 
1.89059, 
2.63674, 
-0.000151985, 
-9.8972e-05, 
-4.00945e-06, 
-0.000141246, 
-0.000121843, 
5.41139, 
0.99914, 
-8.09618e-05, 
-0.000119589, 
0.722876, 
-3.67483e-05, 
-0.000165756, 
167.27, 
4.55861, 
0.765504, 
-0.000146633, 
3.23225, 
3.13945, 
0.141519, 
2.03179, 
0.46602, 
-0.000126179, 
1.38911, 
-0.000128728, 
-0.000112017, 
7.60148, 
0.383776, 
81.7264, 
0.545295, 
-2.15405e-05, 
-0.000135917, 
-0.000170174, 
-3.46197e-06, 
-0.000112622, 
-0.000144473, 
0.0531161, 
0.465243, 
-8.01484e-05, 
1.08525, 
4.45617e-06, 
-0.000125191, 
249.815, 
-5.27306e-05, 
2.43342, 
4.68471, 
23.5158, 
2.47219, 
242.892, 
0.853663, 
98.3339, 
-0.000129553, 
-5.19823e-05, 
-2.81726e-05, 
0.0597979, 
0.193078, 
17.788, 
-0.000125949, 
1.53917, 
0.521656, 
-3.35126e-05, 
15.5436, 
1.41651, 
-0.000145159, 
3.4425, 
-0.00016138, 
-0.000112957, 
1.80407, 
-8.88277e-05, 
0.00866194, 
0.66895, 
1.16739, 
0.556604, 
-7.31499e-05, 
-2.50011e-05, 
-0.00011127, 
0.988768, 
-0.000131558, 
-0.000149894, 
-0.000167577, 
-0.000127054, 
8.70465, 
1.99518, 
-0.00014773, 
2.75844, 
1.12742, 
4.4107, 
0.57195, 
42.805, 
-8.34546e-05, 
0.709554, 
1.83826, 
-0.000124481, 
-0.00014424, 
-0.000148985, 
38.2886, 
-9.74431e-05, 
80.6979, 
-0.000110962, 
-0.000117476, 
17.1551, 
53.0548, 
2.31081, 
-0.00010457, 
1.94755, 
56.8467, 
7.42952, 
-0.000111758, 
1.57315, 
0.0068047, 
1.56892, 
-8.74038e-05, 
0.0621073, 
-6.25182e-05, 
15.74, 
-0.000156533, 
1.60567e-05, 
-0.000114203, 
0.0508518, 
-4.91049e-05, 
-0.000156688, 
0.0864035, 
-7.57149e-05, 
0.527117, 
6.12597, 
3.13111, 
0.916992, 
3.14332, 
-0.000148286, 
0.116917, 
2.11441, 
-0.000155396, 
-7.39308e-05, 
-0.000124281, 
22.0201, 
16.5931, 
-0.000128884, 
0.291839, 
2.56471, 
-6.11588e-05, 
-6.83339e-05, 
0.469411, 
1.39017, 
1.44701, 
1.96724, 
-1.8315e-05, 
90.0864, 
1.71099, 
-9.0859e-05, 
24.8227, 
1.97074, 
-8.82618e-05, 
-0.00011876, 
-9.64956e-05, 
-0.000154051, 
0.621952, 
2.4683, 
2.27258, 
1.19227, 
-0.000170575, 
0.790399, 
-0.000104013, 
-0.000141376, 
0.400291, 
-0.000158351, 
2.3099, 
0.591683, 
-0.000119317, 
88.6881, 
-3.22224e-05, 
4.76017, 
-0.000135687, 
-0.00010136, 
0.00435227, 
90.3708, 
-1.76971e-05, 
-6.62833e-05, 
-0.000169446, 
0.00223915, 
-3.91077e-05, 
14.9927, 
-0.000150174, 
0.0158391, 
-0.000140044, 
6.03448, 
-0.000163674, 
-0.000123875, 
-0.000148233, 
-6.12408e-05, 
364.89, 
0.136561, 
1.70259, 
-7.09173e-05, 
-0.000137563, 
272.155, 
1.89536, 
-9.72007e-05, 
4.21571, 
24.0561, 
-0.000106049, 
0.665069, 
-0.000148199, 
3.15954, 
310.468, 
-9.50743e-05, 
10.7529, 
2.33018, 
-0.000158961, 
-8.84983e-05, 
2.13337, 
0.213326, 
2.66117, 
-6.31668e-05, 
63.4342, 
-9.6149e-05, 
-3.15721e-05, 
0.829622, 
1.80613, 
-9.82925e-05, 
-3.53492e-05, 
0.349345, 
2.68208, 
0.424455, 
-0.000157693, 
6.79611, 
2.03812, 
3.97832, 
-0.000120129, 
-7.22772e-05, 
-0.000172076, 
-9.91287e-05, 
7.76531, 
0.471656, 
-0.000110405, 
-1.98825e-05, 
3.06083e-05, 
-0.000109062, 
27.3138, 
-0.000139215, 
1.46963, 
-0.000100494, 
-0.000143375, 
-0.000105317, 
-3.91533e-05, 
-3.58123e-05, 
-5.39887e-05, 
2.39128, 
-0.000127617, 
4.39489, 
4.83821, 
1.99728, 
0.311912, 
0.464392, 
0.464439, 
-9.10997e-05, 
2.15046, 
1.21144, 
118.272, 
0.00296114, 
-0.000104369, 
6.70335, 
-9.07395e-05, 
0.589854, 
2.70577, 
4.27474, 
0.0138223, 
0.942237, 
190.143, 
0.496528, 
-7.01767e-05, 
0.85643, 
-7.9836e-05, 
2.87768, 
0.956607, 
2.34878, 
1.21399, 
22.4172, 
-0.00016343, 
1.59927, 
72.5544, 
7.33986, 
-8.07149e-05, 
2.29909, 
1.0493, 
-8.30537e-05, 
-0.0001191, 
-8.35984e-05, 
2.68426, 
1.98338, 
1.33944, 
3.53025, 
2.73244, 
0.947578, 
3.22383, 
2.98515, 
1.97452, 
0.0362599, 
-0.000102088, 
1.05752, 
0.320181, 
-0.00017319, 
1.97382, 
-2.91001e-05, 
0.244435, 
-0.000134877, 
-0.000199419, 
0.878916, 
-7.37486e-05, 
4.02801, 
7.28135, 
39.3609, 
0.382465, 
6.08504, 
16.7766, 
53.1383, 
-2.71187e-05, 
-7.8088e-05, 
0.372692, 
-0.000105397, 
-0.00010884, 
1.68975, 
0.87136, 
