-0.000970009, 
2.32331, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
2.44114, 
-0.000970009, 
0.753248, 
1.0918, 
2.77451, 
-0.000970009, 
0.150512, 
2.42169, 
23.8154, 
12.5538, 
-0.000970009, 
-0.000970009, 
2.63447, 
15.7284, 
-0.000970009, 
0.696174, 
-0.000970009, 
-0.000970009, 
4.47612, 
-0.000970009, 
-0.000970009, 
18.9378, 
1.02322, 
-0.000970009, 
3.03996, 
3.2012, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
3.88523, 
-0.000970009, 
2.64237, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
3.86835, 
-0.000970009, 
-0.000970009, 
15.6702, 
-0.000970009, 
3.34718, 
8.32689, 
-0.000970009, 
0.72192, 
1.8327, 
1.48204, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
1.00993, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
1.83448, 
-0.000970009, 
2.14936, 
4.95461, 
7.34204, 
3.10727, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
0.913408, 
-0.000970009, 
2.18953, 
-0.000970009, 
-0.000970009, 
3.53811, 
4.62388, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
3.19944, 
-0.000970009, 
41.3715, 
-0.000970009, 
-0.000970009, 
2.82551, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
0.0935743, 
4.94249, 
2.11723, 
-0.000970009, 
-0.000970009, 
0.350153, 
-0.000970009, 
0.229128, 
-0.000970009, 
-0.000970009, 
4.15993, 
-0.000970009, 
-0.000970009, 
1.68624, 
-0.000970009, 
33.4496, 
2.16576, 
1.12662, 
8.02314, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
0.947447, 
2.92138, 
3.24043, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
25.7187, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
2.99408, 
-0.000970009, 
1.49357, 
-0.000970009, 
0.236509, 
-0.000970009, 
1.19698, 
0.119577, 
-0.000970009, 
2.74871, 
-0.000970009, 
-0.000970009, 
5.58757, 
-0.000970009, 
23.0268, 
3.639, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
1.96659, 
-0.000970009, 
-0.000970009, 
1.74599, 
-0.000970009, 
-0.000970009, 
1.5828, 
0.562912, 
3.9801, 
-0.000970009, 
1.59174, 
6.29163, 
-0.000970009, 
-0.000970009, 
0.619788, 
1.05307, 
0.258905, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
38.0912, 
3.92997, 
-0.000970009, 
-0.000970009, 
0.236327, 
-0.000970009, 
12.8787, 
-0.000970009, 
-0.000970009, 
4.4294, 
0.295938, 
4.75197, 
-0.000970009, 
20.1138, 
1.94881, 
143.979, 
-0.000970009, 
11.5298, 
-0.000970009, 
-0.000970009, 
23.9218, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
1.6682, 
-0.000970009, 
0.372778, 
2.12872, 
-0.000970009, 
0.872009, 
3.66626, 
7.3531, 
-0.000970009, 
0.470873, 
0.289218, 
-0.000970009, 
20.8502, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
0.942505, 
4.81483, 
1.81407, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
0.323654, 
1.72244, 
2.86433, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
6.06546, 
1.3882, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
-0.000970009, 
138.665, 
4.32706, 
-0.000970009, 
